routeNameE,routeId,first_stopNameE,first_coordinates,last_stopNameE,last_coordinates,fullFare,journeyTime,first_stopDistrict,last_stopDistrict,routeDistance
44,2003966,Tuen Mun Ferry Pier (Public Light Bus (Scheduled Services) Terminus on Wu Shan Road),"(22.374355, 113.970115)",Tuen Mun Ferry Pier (Public Light Bus (Scheduled Services) Terminus on Wu Shan Road),"(22.374355, 113.970115)",18.1,41,Tuen Mun,Tuen Mun,36346
44a,2003999,Tuen Mun Station Public Transport Interchange,"(22.394551, 113.973668)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",18.1,42,Tuen Mun,North District,32641
44a,2004001,"King Kwai House, Shan King Estate","(22.396797, 113.964546)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",18.1,35,Tuen Mun,North District,26475
45,2004032,"Ho Wong Street, outside Tai Hing Gardens Phase I","(22.399905, 113.972379)","Ho Wong Street, outside Tai Hing Gardens Phase I","(22.399905, 113.972379)",3.9,14,Tuen Mun,Tuen Mun,3652
49s,2004033,"Siu Hong Road, near Siu Hong Court","(22.414368, 113.976981)","Lockhart Road, outside The Broadway","(22.27804, 114.170431)",28.6,74,Tuen Mun,Wan Chai,87149
44a1,2004036,"Ming Kum Road, outside Po Tin Shopping Centre","(22.409687, 113.967149)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",18.1,35,Tuen Mun,North District,24498
25k,2004067,Tai Po Market (Wai Yan Street) Terminus,"(22.448834, 114.165246)",Tai Po Market (Wai Yan Street) Terminus,"(22.448834, 114.165246)",6.7,12,Tai Po,Tai Po,12681
47m,2004068,Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",4.2,11,Eastern,Eastern,4681
25a,2004070,Tai Po Market (Tsing Yuen Market) Terminus,"(22.449105, 114.165071)",Tai Po Market (Tsing Yuen Market) Terminus,"(22.449105, 114.165071)",6.7,23,Tai Po,Tai Po,10621
47m,2004071,Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",4.2,9,Eastern,Eastern,3745
47m,2004072,Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",4.2,6,Eastern,Eastern,2131
47s,2004074,Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",4.2,14,Eastern,Eastern,3854
25a,2004075,Tai Hang Village Office ,"(22.46963, 114.150708)",Tai Po Market (Tsing Yuen Market) Terminus,"(22.449105, 114.165071)",6.7,7,Tai Po,Tai Po,3574
47e,2004076,"Pamela Youde Nethersole Eastern Hospital, outside Main Block","(22.269134, 114.236845)",Siu Sai Wan Phase III,"(22.262319, 114.250309)",8.2,14,Eastern,Eastern,3460
5m,2004077,Wong Chuk Hang Station,"(22.248193, 114.167891)",Grantham Hospital,"(22.251345, 114.173033)",4.9,2,Southern District,Southern District,1400
25b,2004078,Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,"(22.44692, 114.165663)",Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,"(22.446956, 114.165683)",7.2,23,Tai Po,Tai Po,15539
25b,2004080,Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,"(22.44692, 114.165663)",Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,"(22.446956, 114.165683)",7.2,21,Tai Po,Tai Po,11154
5,2004081,"Nam Ning Street, outside Hoi Tsing Court","(22.248932, 114.153883)","Nam Ning Street, outside Hoi Tsing Court","(22.248932, 114.153883)",11.0,22,Southern District,Southern District,21145
25b,2004082,Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,"(22.44692, 114.165663)",Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,"(22.446956, 114.165683)",7.2,20,Tai Po,Tai Po,10724
25b,2004083,Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,"(22.44692, 114.165663)",Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,"(22.446956, 114.165683)",7.2,23,Tai Po,Tai Po,13719
61,2004084,"Siu Sai Wan Road, outside Tower 3, Island Resort","(22.266049, 114.250389)","Fife Street, outside Yau Shing Building","(22.320484, 114.170226)",25.0,46,Eastern,Yau Tsim Mong,42299
8,2004085,Near Baguio Villa Block 17,"(22.261968, 114.131906)",Central (Exchange Square),"(22.283719, 114.158467)",11.1,18,Southern District,Central and Western,5885
n4a,2004086,Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)","Near President Theatre, Cannon Street","(22.281462, 114.18355)",11.7,15,Southern District,Wan Chai,9696
8x,2004087,Near Baguio Villa Block 17,"(22.261968, 114.131906)",Near Baguio Villa Block 17,"(22.261968, 114.131906)",11.1,16,Southern District,Southern District,10543
47e,2004088,Siu Sai Wan Phase III,"(22.262319, 114.250309)",Siu Sai Wan Phase III,"(22.262319, 114.250309)",8.2,25,Eastern,Eastern,8815
n4c,2004089,Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)","Near President Theatre, Cannon Street","(22.281462, 114.18355)",11.7,17,Southern District,Wan Chai,11342
62,2004090,Heng Fa Chuen Public Transport Interchange,"(22.275309, 114.241205)",Heng Fa Chuen Public Transport Interchange,"(22.275309, 114.241205)",4.3,13,Eastern,Eastern,4885
62a,2004091,Siu Sai Wan (Island Resort) Public Transport Interchange,"(22.266401, 114.250544)",Siu Sai Wan (Island Resort) Public Transport Interchange,"(22.266401, 114.250544)",4.3,11,Eastern,Eastern,3837
35m,2004092,Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)","Johnston Road, outside Methodist House","(22.277335, 114.170082)",10.2,19,Southern District,Wan Chai,18309
n4x,2004093,"Near President Theatre, Cannon Street","(22.281462, 114.18355)","Near President Theatre, Cannon Street","(22.281462, 114.18355)",11.7,23,Wan Chai,Wan Chai,8036
4a,2004095,Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)","Near President Theatre, Cannon Street","(22.281462, 114.18355)",10.2,21,Southern District,Wan Chai,17689
4b,2004096,Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)",Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)",10.2,35,Southern District,Southern District,16875
4c,2004097,Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)","Near President Theatre, Cannon Street","(22.281462, 114.18355)",10.2,17,Southern District,Wan Chai,11832
4m,2004098,Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)",Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)",4.9,9,Southern District,Southern District,5521
4s,2004099,Shek Pai Wan Estate Public Transport Interchange,"(22.250089, 114.1572)",Shek Pai Wan Estate Public Transport Interchange,"(22.250089, 114.1572)",3.3,8,Southern District,Southern District,2911
4m,2004100,"Nam Ning Street, outside Hoi Ying Court","(22.248951, 114.154387)","Nam Ning Street, outside Hoi Ying Court","(22.248951, 114.154387)",4.9,6,Southern District,Southern District,2947
4m,2004131,Shek Pai Wan Estate Public Transport Interchange,"(22.249809, 114.157385)",Wong Chuk Hang Station,"(22.248193, 114.167891)",4.9,3,Southern District,Southern District,731
44b,2004164,Lok Ma Chau (San Tin) Public Transport Interchange,"(22.502962, 114.081961)",Tuen Mun Station Public Transport Interchange,"(22.394551, 113.973668)",15.7,35,Yuen Long,Tuen Mun,26920
n44b,2004165,Lok Ma Chau Control Point,"(22.50797, 114.075067)",Tuen Mun Ferry Pier (Public Light Bus (Scheduled Services) Terminus on Wu Shan Road),"(22.374355, 113.970115)",15.7,48,Yuen Long,Tuen Mun,59657
44b1,2004197,Lok Ma Chau (San Tin) Public Transport Interchange,"(22.502962, 114.081961)",Tuen Mun Ferry Pier (Public Light Bus (Scheduled Services) Terminus on Wu Shan Road),"(22.374355, 113.970115)",15.7,32,Yuen Long,Tuen Mun,29248
59s,2004230,"Tung Sing Tung Sing Road, outside Goodview Centre","(22.248048, 114.155251)","Tung Sing Tung Sing Road, outside Goodview Centre","(22.248048, 114.155251)",6.4,9,Southern District,Southern District,5764
312,2004263,Lei Muk Shue Estate Public Transport Interchange,"(22.377552, 114.136782)",Lei Muk Shue Estate Public Transport Interchange,"(22.377552, 114.136782)",7.5,16,Tsuen Wan,Tsuen Wan,7288
313,2004296,Tso Kung Street Public Light Bus (Scheduled) Service Terminus,"(22.373101, 114.111965)",Princess Magaret Hospital,"(22.34142, 114.134773)",9.2,24,Tsuen Wan,Kwai Tsing,13422
94,2004329,Shek Tau Kok Estate,"(22.375724, 114.123538)",Shek Tau Kok Estate,"(22.375724, 114.123538)",7.2,23,Kwai Tsing,Kwai Tsing,15206
94s,2004330,Hoi Kwai Road Public Transport Interchange,"(22.368332, 114.110676)",Shing Mun Reservoir,"(22.384606, 114.14383)",7.5,15,Tsuen Wan,Tsuen Wan,4800
94a,2004331,Lei Muk Shue Estate Public Transport Interchange,"(22.377669, 114.136345)",Lei Muk Shue Estate Public Transport Interchange,"(22.377552, 114.136782)",7.2,17,Tsuen Wan,Tsuen Wan,10666
9m,2004362,Pak Wan Street ,"(22.336531, 114.167653)",Pak Wan Street ,"(22.336522, 114.16773)",4.2,7,Sham Shui Po,Sham Shui Po,2173
62s,2004395,Kwong Tin Estate Bus Terminus,"(22.302572, 114.241169)","Haiphong Road, opposite Hoiphong Mansion","(22.298169, 114.17175)",14.3,35,Kwun Tong,Yau Tsim Mong,27322
63,2004396,Kwong Tin Estate Bus Terminus,"(22.302681, 114.241363)",Kwong Tin Estate Bus Terminus,"(22.302681, 114.241363)",5.9,20,Kwun Tong,Kwun Tong,9402
59,2004397,"Tsui Ping (South) Estate, outside Tsui Chung House","(22.313078, 114.234351)","Tsui Ping (South) Estate, outside Tsui Chung House","(22.313078, 114.234351)",4.5,14,Kwun Tong,Kwun Tong,3742
59m,2004398,"Tsui Ping (South) Estate, outside Tsui Chung House","(22.313059, 114.234448)","Tsui Ping (South) Estate, outside Tsui Chung House","(22.313078, 114.234351)",3.5,5,Kwun Tong,Kwun Tong,1709
88,2004428,"SHING KAI ROAD, near Po Leung Kuk Stanley Ho Sau Nan Primary School","(22.332176, 114.204646)","SHING KAI ROAD, near Po Leung Kuk Stanley Ho Sau Nan Primary School","(22.332104, 114.204655)",4.9,21,Kowloon City,Kowloon City,8094
503,2004461,Queen's Hill,"(22.503016, 114.16184)",North District Hospital,"(22.496751, 114.125222)",7.9,27,North District,North District,12540
504,2004462,Wa Shan Tsuen Access Road,"(22.515808, 114.134594)","Chi Cheong Road, near Sheung Shui Centre Block No. 6","(22.500906, 114.130575)",4.8,5,North District,North District,3499
57m,2004463,"Nanking Street, outside David House (Jordan Station)","(22.306206, 114.171964)","QUEEN ELIZABETH HOSPITAL ROAD, near Queen Elizabeth Hospital Block K","(22.308798, 114.175535)",4.9,2,Yau Tsim Mong,Yau Tsim Mong,1524
26,2004527,"Lee Garden Road, outside Phoenix Apartments","(22.278302, 114.183929)","Lee Garden Road, outside Phoenix Apartments","(22.278302, 114.183929)",7.5,22,Wan Chai,Wan Chai,18528
44m,2004593,"NGONG SHUNG ROAD near Hoi Hong Lau, Government Dockyard","(22.32262, 114.140156)",Cheung Sha Wan (Cheung Shun Street) Terminus,"(22.336465, 114.147578)",6.5,7,Sham Shui Po,Sham Shui Po,5830
310m,2004594,Tsing Yi Station GMB Terminus,"(22.359471, 114.106243)",Tsing Yi Station GMB Terminus,"(22.359471, 114.106243)",5.3,18,Kwai Tsing,Kwai Tsing,6149
44m,2004595,"NGONG SHUNG ROAD near Hoi Hong Lau, Government Dockyard","(22.32262, 114.140156)",D2 Place One,"(22.336122, 114.148491)",6.5,6,Sham Shui Po,Sham Shui Po,1747
140m,2004598,Sam Shing Bus Terminus,"(22.382293, 113.977609)",Tsing Yi Station GMB Terminus,"(22.359471, 114.106243)",14.6,25,Tuen Mun,Kwai Tsing,37197
44a,2004599,Cheung Sha Wan Plaza Minibus Terminus,"(22.337098, 114.148733)",Cheung Sha Wan Plaza Minibus Terminus,"(22.337098, 114.148733)",3.9,4,Sham Shui Po,Sham Shui Po,2063
44a,2004626,Cheung Sha Wan Plaza Minibus Terminus,"(22.337098, 114.148733)",Cheung Sha Wan Plaza Minibus Terminus,"(22.337071, 114.148646)",4.0,11,Sham Shui Po,Sham Shui Po,4075
44s,2004627,Hoi Lai Estate,"(22.332094, 114.147472)",Hoi Lai Estate,"(22.332094, 114.147472)",4.8,18,Sham Shui Po,Sham Shui Po,3363
16,2004629,"Ngau Chi Wan Street opposite Fung Chak House, Choi Wan Estate","(22.334729, 114.218265)","Ngau Chi Wan Street opposite Fung Chak House, Choi Wan Estate","(22.334801, 114.218226)",3.8,6,Wong Tai Sin,Wong Tai Sin,2377
16a,2004630,"Fung Shing Street, outside Fung Shing Street Disciplined Services Quarters","(22.338369, 114.214131)","Fung Shing Street, outside Fung Shing Street Disciplined Services Quarters","(22.338414, 114.214102)",4.3,9,Wong Tai Sin,Wong Tai Sin,3721
16s,2004631,"Fung Shing Street, outside Aria","(22.339534, 114.213316)","Fung Shing Street, outside Aria","(22.339579, 114.213277)",4.3,7,Wong Tai Sin,Wong Tai Sin,3395
16b,2004632,"Fung Shing Street, Scenic View","(22.337421, 114.214645)",Ping Shek Public Transport Interchange 1/F,"(22.334044, 114.210092)",4.3,6,Wong Tai Sin,Kwun Tong,1087
38m,2004659,"Wing Chuk Street, outside Cheung Yuen House, Chuk Yuen North Estate","(22.34678, 114.194378)",Wong Tai Sin Public Light Bus (Scheduled) Service Terminus,"(22.342969, 114.195183)",4.8,6,Wong Tai Sin,Wong Tai Sin,2499
39m,2004660,Lok Fu MTR Station Minibus Terminus,"(22.337641, 114.188164)",'Lok Fu MTR Station Minibus Terminus ,"(22.337641, 114.188164)",4.8,14,Wong Tai Sin,Wong Tai Sin,3882
39m,2004661,Lok Fu MTR Station Minibus Terminus,"(22.337641, 114.188164)",'Lok Fu MTR Station Minibus Terminus ,"(22.337641, 114.188164)",4.8,15,Wong Tai Sin,Wong Tai Sin,4399
809k,2004692,Sha Tin Station (Pai Tau Street),"(22.384239, 114.187915)",Sha Tin Station (Pai Tau Street),"(22.384239, 114.187915)",5.6,15,Sha Tin,Sha Tin,5511
79k,2004725,Mong Kok (Park Avenue) Terminus,"(22.315282, 114.163354)",Mong Kok (Park Avenue) Terminus,"(22.315291, 114.163422)",5.2,25,Yau Tsim Mong,Yau Tsim Mong,4973
808,2004758,Kam Ying Court Bus Terminus,"(22.423385, 114.237096)",Kam Ying Court Bus Terminus,"(22.423385, 114.237096)",8.1,18,Sha Tin,Sha Tin,25655
79m,2004759,"King Tung Street, Kingsford Terrace","(22.3406, 114.210064)","King Tung Street, Kingsford Terrace","(22.3406, 114.210064)",4.0,6,Wong Tai Sin,Wong Tai Sin,3672
79s,2004760,"King Tung Street, Kingsford Terrace","(22.3406, 114.210064)","King Tung Street, Kingsford Terrace","(22.340736, 114.210219)",4.0,8,Wong Tai Sin,Wong Tai Sin,2263
808p,2004761,Heng On Estate Bus Terminus,"(22.418041, 114.228498)",Prince of Wales Hospital,"(22.381285, 114.20149)",8.7,12,Sha Tin,Sha Tin,21531
616s,2004762,"Sai Yeung Choi Street South, near Pioneer Centre","(22.32229, 114.169187)",Lok Ma Chau Control Point,"(22.50797, 114.075067)",25.0,37,Yau Tsim Mong,Yuen Long,38986
12,2004763,Po Lam Public Transport Interchange,"(22.323398, 114.257931)",Po Lam Public Transport Interchange,"(22.323398, 114.257931)",7.7,32,Sai Kung,Sai Kung,14892
12,2004764,"Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(22.38161, 114.273424)",Po Lam Public Transport Interchange,"(22.323398, 114.257931)",12.3,35,Sai Kung,Sai Kung,39969
11,2004791,"Ting Wo Lane, near Hang Hau Village","(22.32054, 114.26651)","Lung Cheung Road, outside Hung Ngok House, Choi Hung Estate ","(22.336691, 114.206637)",8.1,21,Sai Kung,Wong Tai Sin,25338
11a,2004824,"Ting Wo Lane, near Hang Hau Village","(22.32054, 114.26651)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",3.7,2,Sai Kung,Sai Kung,446
11m,2004825,Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",6.0,10,Sai Kung,Sai Kung,4719
11s,2004826,Po Lam Public Transport Interchange,"(22.323398, 114.257931)","Lung Cheung Roa,outside Hung Ngok House, Choi Hung Estate ","(22.336691, 114.206637)",9.8,24,Sai Kung,Wong Tai Sin,27243
11b,2004827,Hong Kong University of Science and Technology (North Station),"(22.33855, 114.262066)",Hong Kong University of Science and Technology (North Station),"(22.33855, 114.262066)",8.1,11,Sai Kung,Sai Kung,10758
11b,2004828,Hong Kong University of Science and Technology (South Station),"(22.333131, 114.262878)","Lung Cheung Road, outside Hung Ngok House, Choi Hung Estate ","(22.336691, 114.206637)",8.1,13,Sai Kung,Wong Tai Sin,6969
59,2004857,"Tsui Ping (South) Estate, outside Tsui Chung House","(22.313078, 114.234351)","Tsui Ping (South) Estate, outside Tsui Chung House","(22.313059, 114.234448)",4.5,12,Kwun Tong,Kwun Tong,3257
808,2004891,Kam Ying Court Bus Terminus,"(22.423385, 114.237096)",Kam Ying Court Bus Terminus,"(22.423385, 114.237096)",4.0,3,Sha Tin,Sha Tin,955
808,2004892,"Sai Sha Road, outside Sunshine City","(22.424551, 114.231764)",Prince of Wales Hospital,"(22.381285, 114.20149)",6.1,13,Sha Tin,Sha Tin,8073
808,2004893,"Hang Hong Street, outside Tsang Pik Shan Secondary School","(22.421906, 114.228781)",Prince of Wales Hospital,"(22.381285, 114.20149)",6.1,12,Sha Tin,Sha Tin,7423
41,2004923,Lung Mun Oasis PTI,"(22.384834, 113.965943)",Tuen Mun Town Centre (Tuen Fat Road),"(22.392533, 113.977468)",7.0,12,Tuen Mun,Tuen Mun,10485
40,2004956,Siu Hang Tsuen Minibus Terminus,"(22.414055, 113.971736)",Siu Hang Tsuen Minibus Terminus,"(22.413973, 113.971727)",6.5,23,Tuen Mun,Tuen Mun,7270
20,2004989,"Hong Keung Street, outside On Keung Building","(22.334363, 114.19655)","Hong Keung Street, outside On Keung Building","(22.334399, 114.196599)",6.1,18,Wong Tai Sin,Wong Tai Sin,5700
20m,2004990,"Hong Keung Street, outside On Keung Building","(22.334363, 114.19655)","Ching Tak Street, outside Wong Tai Sin Shopping Centre","(22.341208, 114.194309)",4.5,6,Wong Tai Sin,Wong Tai Sin,2106
44m,2005022,D2 Place One,"(22.336122, 114.148491)","NGONG SHUNG ROAD near Hoi Hong Lau, Government Dockyard","(22.32262, 114.140156)",6.5,7,Sham Shui Po,Sham Shui Po,2246
97a,2005055,"WAH KING HILL ROAD, near Wonderland Villas Commercial Complex","(22.351824, 114.137284)","CHEUNG FAT STREET, near Hang Seng Castle Peak Road Building","(22.338273, 114.156101)",8.0,11,Kwai Tsing,Tuen Mun,6435
410,2005056,Princess Margaret Hospital Block K,"(22.341411, 114.134637)",Lei Muk Road near Shek Yam Shopping Centre,"(22.371845, 114.138628)",10.6,19,Kwai Tsing,Kwai Tsing,10561
88,2005088,Tsing Yi Estate Minibus Terminus,"(22.353736, 114.103188)",Tsing Yi Estate Minibus Terminus,"(22.353736, 114.103188)",5.7,11,Kwai Tsing,Kwai Tsing,8793
88b,2005121,"FUNG SHUE WO ROAD, near Greenfield Garden Block 7","(22.353097, 114.108324)","FUNG SHUE WO ROAD, near Greenfield Garden Block 7","(22.353097, 114.108324)",5.7,13,Kwai Tsing,Kwai Tsing,7839
114a,2005122,Tseung Kwan O MTR Station Minibus Terminus,"(22.30875, 114.260485)",Tseung Kwan O MTR Station Minibus Terminus,"(22.308668, 114.260524)",4.3,6,Sai Kung,Sai Kung,1805
114a,2005155,Tseung Kwan O MTR Station Minibus Terminus,"(22.30875, 114.260485)",Tseung Kwan O MTR Station Minibus Terminus,"(22.308668, 114.260524)",4.3,9,Sai Kung,Sai Kung,3254
114b,2005187,Tiu Keng Leng MTR Station Minibus Terminus,"(22.30506, 114.25234)",Tiu Keng Leng MTR Station Minibus Terminus,"(22.304997, 114.252408)",4.3,6,Sai Kung,Sai Kung,2649
52,2005220,"YUE FAI ROAD, near Aberdeen Main Road","(22.248463, 114.155862)","YUE FAI ROAD, near Aberdeen Main Road","(22.248463, 114.155862)",10.1,23,Southern District,Southern District,23092
20x,2005221,"Choi Tip Street, near Ban Tip House","(22.461576, 114.173503)",Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",6.5,6,Tai Po,Tai Po,2314
26a,2005222,The Education University of Hong Kong Minibus Terminus,"(22.466244, 114.193518)",The Education University of Hong Kong Minibus Terminus,"(22.466226, 114.193431)",7.0,28,Tai Po,Tai Po,8504
26,2005253,The Education University of Hong Kong Minibus Terminus,"(22.466488, 114.193693)",Ma On Shan (Bayshore Towers) Minibus Terminus,"(22.425726, 114.231104)",15.0,32,Tai Po,Sha Tin,31417
26,2005254,"西沙路, 新港城外	Sai Sha Road, outside Sunshine City","(22.424615, 114.231308)",The Education University of Hong Kong Minibus Terminus,"(22.466488, 114.193693)",15.0,23,Sha Tin,Tai Po,15690
52,2005286,"Tung Tau Wan Road, Stanley Prison","(22.21538, 114.217629)","YUE FAI ROAD, near Aberdeen Main Road","(22.248463, 114.155862)",10.1,24,Southern District,Southern District,13182
52,2005287,"Cape Road, Chun Ma House","(22.222192, 114.205982)","YUE FAI ROAD, near Aberdeen Main Road","(22.248463, 114.155862)",10.1,16,Southern District,Southern District,10415
52,2005288,"CARMEL ROAD, near Stanley Plaza","(22.219897, 114.209551)","YUE FAI ROAD, near Aberdeen Main Road","(22.248463, 114.155862)",10.1,17,Southern District,Southern District,10665
37,2005289,"PING LAN STREET, near Fa Chau Mansion","(22.244436, 114.157036)","PING LAN STREET, near Fa Chau Mansion","(22.24449, 114.157017)",5.8,19,Southern District,Southern District,5034
36x,2005290,"PING LAN STREET, near Fa Chau Mansion","(22.244436, 114.157036)","Jardine's Bazaar, near Tang Lung Chau Market","(22.279304, 114.185617)",10.0,17,Southern District,Wan Chai,17046
45a,2005291,"First Street, near Centre Street Market","(22.28648, 114.142164)","First Street, near Centre Street Market","(22.286489, 114.142222)",6.3,20,Central and Western,Central and Western,5402
45s,2005292,"First Street, near Centre Street Market","(22.28648, 114.142164)","First Street, near Centre Street Market","(22.286489, 114.142222)",6.3,17,Central and Western,Central and Western,4829
66,2005293,"Oi Yin Street, outside Block 8, Aldrich Garden","(22.281509, 114.228302)","Oi Yin Street, outside Block 8, Aldrich Garden","(22.281509, 114.228302)",7.2,19,Eastern,Eastern,8918
66a,2005294,"Oi Yin Street, outside Block 8, Aldrich Garden","(22.281509, 114.228302)","Oi Yin Street, outside Block 8, Aldrich Garden","(22.281509, 114.228302)",7.2,15,Eastern,Eastern,6711
68,2005295,"Aldrich Garden, outside Block 10","(22.281752, 114.228584)","Aldrich Garden, outside Block 10","(22.281698, 114.228584)",5.7,14,Eastern,Eastern,6098
86,2005319,Cruise Terminal,"(22.305588, 114.214142)",Cruise Terminal,"(22.305561, 114.21418)",6.4,18,Kowloon City,Kowloon City,7792
50a,2005322,Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)","KWU TUNG ROAD, near LADY HO TUNG WELFARE CENTRE","(22.502231, 114.098921)",7.0,14,North District,North District,10197
50k,2005323,Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",Hang Tau Minibus Terminus,"(22.491739, 114.102416)",7.0,12,North District,North District,9437
51k,2005325,Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",7.4,14,North District,North District,25442
812,2005326,"Pok Chuen Street, outside Yan Chuen House","(22.371984, 114.198527)","Che Kung Miu Road, opposite Hin Keng Shopping Centre","(22.363912, 114.171486)",5.9,14,Sha Tin,Sha Tin,9032
51k,2005327,Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",8.5,32,North District,North District,28499
812,2005328,Shui Chuen O Public Transport Interchange,"(22.374657, 114.198032)","Che Kung Miu Road, opposite Hin Keng Shopping Centre","(22.363912, 114.171486)",5.9,12,Sha Tin,Sha Tin,4305
812a,2005329,"Pok Chuen Street, outside Yan Chuen House","(22.371984, 114.198527)","Pok Chuen Street, outside Yan Chuen House","(22.371938, 114.198527)",4.1,6,Sha Tin,Sha Tin,2567
812a,2005330,Pok Chuen Path,"(22.372047, 114.19941)","Yat Tai Street, outside Sha Tin Wai Station","(22.376797, 114.194896)",4.1,4,Sha Tin,Sha Tin,1348
51b,2005331,Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",9.5,18,North District,North District,26033
813,2005332,"Pok Chuen Street, outside Yan Chuen House","(22.371984, 114.198527)","On Ming Street, near Shek Mun Estate","(22.387523, 114.20891)",5.9,8,Sha Tin,Sha Tin,6822
51b,2005333,"MA TSO LUNG ROAD, near MA TSO LUNG SHUN YEE SAN TSUEN","(22.522729, 114.098326)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",8.3,19,North District,North District,7508
813a,2005334,"Pok Chuen Street, outside Yan Chuen House","(22.371984, 114.198527)","Pok Chuen Street, outside Yan Chuen House","(22.371938, 114.198527)",5.9,22,Sha Tin,Sha Tin,9346
51b,2005353,"MA TSO LUNG ROAD, near Tung Wah Group of Hospitals Ma Tso Lung Campsite","(22.51099, 114.099072)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",7.2,13,North District,North District,4250
74,2005385,Kowloon Station,"(22.305014, 114.162919)",Kowloon Station,"(22.305041, 114.16286)",7.0,33,Yau Tsim Mong,Yau Tsim Mong,10886
74s,2005386,Kowloon Station,"(22.305014, 114.162919)",Kowloon Station,"(22.305041, 114.16286)",7.0,29,Yau Tsim Mong,Yau Tsim Mong,10576
101m,2005451,"Hiram's Highway, outside Lakeside Garden","(22.380728, 114.268714)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",10.9,19,Sai Kung,Sai Kung,8172
101m,2005452,"Hiram's Highway, near Po Lo Che","(22.378553, 114.265586)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",10.9,17,Sai Kung,Sai Kung,8172
101m,2005453,"Hiram's Highway, outside Marina Cove","(22.359758, 114.252612)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",10.9,13,Sai Kung,Sai Kung,6326
20b,2005484,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)","Tung Tsz Road, outside Tung Tsz Scout Centre","(22.47289, 114.198795)",8.3,19,Tai Po,Tai Po,8644
81,2005517,Tsuen Wan (Shiu Wo Street),"(22.372065, 114.117694)",Tsuen Wan (Shiu Wo Street),"(22.372065, 114.117694)",6.2,11,Tsuen Wan,Tsuen Wan,3547
81,2005550,Tsuen Wan (Shiu Wo Street),"(22.372065, 114.117694)",Tsuen Wan (Shiu Wo Street),"(22.372065, 114.117694)",6.2,19,Tsuen Wan,Tsuen Wan,6243
81m,2005551,Tsuen Wan (Shiu Wo Street),"(22.371713, 114.118306)",Tsuen Wan (Shiu Wo Street),"(22.371713, 114.118306)",4.2,8,Tsuen Wan,Tsuen Wan,1440
82,2005583,Tsuen Wan (Shiu Wo Street),"(22.372065, 114.117694)",Tsuen Wan (Shiu Wo Street),"(22.372065, 114.117694)",6.2,14,Tsuen Wan,Tsuen Wan,4589
