routeNameE,routeId,first_stopNameE,first_coordinates,last_stopNameE,last_coordinates,fullFare,journeyTime,first_stopDistrict,last_stopDistrict,routeDistance
21k,2001277,"Tai Wo Service Road West, outside Wai Tau Tsuen","(22.463841, 114.148708)",Nam Shing Street GMB Stop,"(22.448067, 114.165751)",6.9,6,Tai Po,Tai Po,2895
21a,2001278,"Tai Po Tau Road, near Tai Po Tau Drive","(22.45399, 114.159426)","Tai Po Tau Drive, Serenity Park Phase 2","(22.45399, 114.159426)",5.2,9,Tai Po,Tai Po,3067
23k,2001326,"Wun Yiu Road, San Uk Ka","(22.430276, 114.163091)","Wun Yiu Road, San Uk Ka","(22.430276, 114.163091)",5.7,13,Tai Po,Tai Po,4654
23k,2001327,"Tat Wan Road, Lai Chi Shan","(22.438476, 114.164683)","Tat Wan Road, Lai Chi Shan","(22.438377, 114.164887)",5.7,8,Tai Po,Tai Po,2224
23k,2001359,"Wun Yiu Road, San Uk Ka","(22.430276, 114.163091)","Wun Yiu Road, San Uk Ka","(22.430276, 114.163091)",5.7,13,Tai Po,Tai Po,4575
23s,2001360,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)","Wan Tau Street, Wan Tau Square","(22.446793, 114.168112)",6.2,12,Tai Po,Tai Po,6027
20a,2001361,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",6.5,19,Tai Po,Tai Po,6671
20x,2001392,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)","Chuen On Road, near Alice Ho Miu Ling Nethersole Hospital","(22.45987, 114.17429)",6.5,6,Tai Po,Tai Po,3183
56a,2001458,Wo Mun Street Public Light Bus Terminus,"(22.500287, 114.144201)","Fanling Station Road, outside Fanling Station","(22.491553, 114.139596)",3.9,4,North District,North District,204
56a,2001459,"Wo Muk Road, outside Tower 3, Union Plaza","(22.500503, 114.141528)","Fanling Station Road, outside Fanling Station","(22.491553, 114.139596)",3.9,5,North District,North District,204
20s,2001460,"Ma Wo Road, Classical Garden","(22.44244, 114.160447)","Ma Wo Road, Classical Garden","(22.44244, 114.160447)",5.2,9,Tai Po,Tai Po,3534
20p,2001461,Fung Yuen,"(22.465288, 114.180275)",Fung Yuen,"(22.465288, 114.180275)",6.5,16,Tai Po,Tai Po,6169
20p,2001462,Fung Yuen,"(22.465288, 114.180275)",Fung Yuen,"(22.465288, 114.180275)",6.5,17,Tai Po,Tai Po,7569
20m,2001463,Fung Yuen,"(22.465288, 114.180275)",Fung Yuen,"(22.465288, 114.180275)",5.9,14,Tai Po,Tai Po,3943
20k,2001464,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)","Sam Mun Tsai Road, opposite Springdale Garden","(22.456867, 114.213667)",7.2,16,Tai Po,Tai Po,15001
20k,2001465,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)","Sam Mun Tsai Road, opposite Springdale Garden","(22.456867, 114.213667)",7.2,11,Tai Po,Tai Po,11000
20k,2001467,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",7.2,16,Tai Po,Tai Po,15014
20b,2001468,"Tung Tsz Road, outside Tung Tsz Scout Centre","(22.47289, 114.198795)",Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",8.3,18,Tai Po,Tai Po,8446
20b,2001469,"Tung Tsz Road, outside Tubg Tsz Scout Centre","(22.47289, 114.198795)",Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",8.3,20,Tai Po,Tai Po,9291
20c,2001470,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Tai Mei Tuk Public Transport Interchange,"(22.472286, 114.232997)",8.8,21,Tai Po,Tai Po,21061
20c,2001471,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Tai Mei Tuk Public Transport Interchange,"(22.472286, 114.232997)",8.8,15,Tai Po,Tai Po,17063
20c,2001472,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Tai Mei Tuk Public Transport Interchange,"(22.472286, 114.232997)",8.8,24,Tai Po,Tai Po,20834
20e,2001473,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",8.8,38,Tai Po,Tai Po,19852
20e,2001474,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",8.8,37,Tai Po,Tai Po,19852
20r,2001475,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Wu Kau Tang,"(22.507564, 114.243022)",11.7,38,Tai Po,Tai Po,31717
20t,2001476,Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",Tsz Shan Monastery,"(22.472681, 114.206549)",8.3,12,Tai Po,Tai Po,12329
20k,2001478,Sam Mun Tsai Road near Sha Lan Road,"(22.45732, 114.210684)",Tai Po Market Station Minibus Terminus,"(22.443814, 114.170424)",7.2,17,Tai Po,Tai Po,7622
56,2001524,Richland Gardens Minibus Terminus,"(22.329548, 114.206266)","Shung Yan Street, outside Nam Wah Mansion","(22.315691, 114.224568)",6.4,8,Kwun Tong,Kwun Tong,6383
80m,2001557,Parc Palais access road,"(22.310975, 114.176573)",Parc Palais access road,"(22.310975, 114.176573)",4.6,8,Yau Tsim Mong,Yau Tsim Mong,2400
82,2001558,Caritas Mother Teresa School,"(22.331406, 114.217924)",Kai Tak,"(22.330696, 114.197783)",4.5,11,Kwun Tong,Kowloon City,5298
623,2001591,Fung Cheung Road Green Minibus Terminus,"(22.442927, 114.032575)",Fung Cheung Road Green Minibus Terminus,"(22.442927, 114.032575)",4.2,7,Yuen Long,Yuen Long,1668
405,2001635,"Liu To Road, Cheung Hang Estate Bus Terminus","(22.355485, 114.097498)","Liu To Road, Cheung Hang Estate Bus Terminus","(22.355485, 114.097498)",7.0,26,Kwai Tsing,Kwai Tsing,10042
43c,2001636,"Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)","Siu Hing Lane, outside Pok Oi Hospital Tuen Mun Nursing Home","(22.384882, 113.975925)",5.8,16,Tuen Mun,Tuen Mun,6606
43s,2001656,"Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)","Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)",8.5,32,Tuen Mun,Tuen Mun,11228
301,2001689,"Hoi Shing Road, outside Tsuen Wan Plaza","(22.370391, 114.111005)","Hoi Shing Road, outside Tsuen Wan Plaza","(22.370391, 114.111005)",4.6,11,Tsuen Wan,Tsuen Wan,1994
43,2001690,"Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)","Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)",8.5,40,Tuen Mun,Tuen Mun,13683
43a,2001723,"Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)","Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)",6.2,15,Tuen Mun,Tuen Mun,7826
43b,2001740,"Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)","Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)",9.3,65,Tuen Mun,Tuen Mun,21337
43,2001741,"Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)","Ho Pong Street, outside Tuen Mun San Hui Market","(22.397633, 113.975849)",8.5,41,Tuen Mun,Tuen Mun,14642
81k,2001755,Hoi Lai Estate,"(22.332094, 114.147472)",Hoi Lai Estate,"(22.332094, 114.147472)",4.6,16,Sham Shui Po,Sham Shui Po,5978
413,2001788,Tsing Yi Ferry Pier Terminus,"(22.353205, 114.108606)",Princess Magaret Hospital,"(22.341827, 114.134637)",8.3,22,Kwai Tsing,Kwai Tsing,15941
